INDV,Location,State,MeanDepth,Breadth_1x,Breadth_10x,N_reads,N_paired,N_SITES,MEAN_DEPTH,Label
sca0037,JENN,PA,18.4216,99.0696,84.928,255309574,243150038,19773987,17.3625,Other
sca0038,JENN,PA,14.1142,98.9228,74.0487,191452304,182110456,19773344,13.3025,Other
sca0142,KBPP,CA,13.5297,96.4858,76.4027,155684933,147823862,19773006,12.5743,Other
sca0143,KBPP,CA,14.5925,99.0043,78.5497,168045192,160010096,19773227,13.5424,Other
sca0180,KBPP,CA,14.5944,98.891,73.8633,195883010,188172024,19771158,14.9339,Other
sca0186,KBPP,CA,20.6753,98.5726,51.4,291616287,226266510,19773037,11.738,Other
sca0226,KBPP,CA,12.843,99.0427,68.5567,148159463,136682846,19773517,13.4111,Other
sca0236,KBPP,CA,14.0433,98.9701,75.7053,161732926,152158938,19773628,13.0893,Other
sca0242,KBPP,CA,13.8246,99.0133,75.6706,159165031,150086562,19771906,8.44032,Other
sca0260,KBPP,CA,13.1098,98.9846,72.7012,149595987,142005960,19773034,12.5129,Other
sca0461,BPNP,CA,13.2113,96.5179,75.2234,151691427,143197834,19773234,14.8002,Other
sca0465,BPNP,CA,16.068,96.6772,86.5858,189546568,178205470,19773597,13.0461,Other
sca0472,BPNP,CA,14.0133,99.0869,78.095,164947500,153902558,19773482,13.6928,Other
sca0529,BPNP,CA,14.5624,99.0604,78.285,175551648,162104036,19773293,11.5955,Other
sca0531,BPNP,CA,17.454,96.7803,89.2991,220491077,204199740,19773633,16.179,Other
sca0549,BPNP,CA,11.7559,99.0001,64.6465,138991555,130083136,19773061,10.9655,Other
sca0600,BPNP,CA,14.8203,99.0809,81.0492,177823188,167118632,19773628,13.7927,Other
sca0604,BPNP,CA,14.1633,96.5853,80.7592,167185013,157688626,19773208,13.2065,Other
sca0636,BPNP,CA,14.7678,99.0782,80.7133,172684827,162321244,19773465,13.6659,Other
sca0651,BPNP,CA,14.5984,96.6377,82.8661,182039511,163962452,19773350,13.6157,Other
sca0673,ROME,OH,12.2821,99.0865,66.6319,143046478,134475704,19773716,11.6754,Other
sca0678,ROME,OH,16.4301,96.4479,87.2323,176134211,166887162,19773186,15.7485,Other
sca0689,KLDR,OH,16.0562,98.9955,83.5543,172240821,162616490,19773417,15.3778,Donor1
sca0693,KLDR,OH,11.9498,99.0325,66.6325,135635228,128217528,19773703,11.2767,Donor1
sca0694,KLDR,OH,15.0247,99.2291,81.4269,167407831,158907776,19774004,14.2115,Donor1
sca0700,KLDR,OH,26.1203,99.1287,94.7758,281663071,267500244,19774196,24.2691,Donor1
sca0707,KLDR,OH,19.6096,99.4098,90.3636,234162336,221910226,19774441,18.4667,Donor1
sca0708,KLDR,OH,14.8306,99.1101,80.2735,159136736,151523246,19773971,14.3388,Donor1
sca0709,KLDR,OH,14.6508,99.2783,80.1501,162831433,154406434,19774311,13.8813,Donor1
sca0713,ROME,OH,21.1646,99.4028,92.4802,297150236,259847898,19774586,19.7123,Other
sca0724,ROME,OH,14.347,99.197,77.921,164832724,156197334,19774013,13.6294,Other
sca0729,ROME,OH,11.5716,99.1189,62.7019,133463096,126320872,19773844,10.8957,Other
sca0732,SPVY,OH,12.8137,96.4505,71.0068,148874647,140324258,19772810,12.1008,Recipient3
sca0734,KLDR,OH,16.4909,99.166,85.0081,197749173,184172324,19774265,15.7089,Donor1
sca0742,KLDR,OH,17.5859,99.1461,86.1125,192496285,178922606,19773810,16.942,Donor1
sca0744,SPVY,OH,16.1273,98.9905,84.1308,172364008,164885814,19773620,15.372,Recipient3
sca0750,KLDR,OH,13.2841,99.1445,73.3025,150242609,142114560,19773875,12.5856,Donor1
sca0801,SSSP,IL,17.7587,99.0565,87.2822,214598142,203119648,19773662,16.7302,Other
sca0802,SSSP,IL,15.9613,99.084,80.8557,179669485,167593578,19773578,15.2464,Other
sca0807,SSSP,IL,12.4881,98.7159,67.5265,132942994,126957318,19772213,11.6277,Other
sca0808,SSSP,IL,17.256,99.1044,86.797,184464029,176853922,19773870,16.4127,Other
sca0809,SSSP,IL,15.4212,98.9973,81.6474,165273258,157080718,19773638,14.8456,Other
sca0810,SSSP,IL,16.7213,99.147,85.8108,187402591,177534218,19773795,15.8955,Other
sca0812,SSSP,IL,12.3088,98.9918,66.9355,142860492,134302544,19773100,11.594,Other
sca0863,MOSQ,OH,13.7126,99.0329,74.8603,159010179,150016186,19773596,12.9604,Other
sca0884,SPVY,OH,12.8882,98.8916,70.1321,138304970,131511652,19773202,12.4237,Recipient3
sca0885,SPVY,OH,13.4865,99.0105,73.0657,156114066,146263840,19773280,12.8116,Recipient3
sca0886,SPVY,OH,27.1318,97.0317,94.4248,323125353,298946214,19774201,25.0921,Recipient3
sca0887,SPVY,OH,12.7394,98.8467,70.5408,136066559,129010316,19772750,12.2041,Recipient3
sca0888,SPVY,OH,14.2547,99.0914,79.8648,162915608,153848232,19774045,13.539,Recipient3
sca0893,MOSQ,OH,14.1272,99.0855,76.3214,163958458,153644756,19773702,13.3732,Other
sca0901,JENN,PA,15.3147,96.6064,85.1259,182367747,170329504,19773429,14.4182,Other
sca0902,JENN,PA,16.0823,99.1069,83.4382,211146564,201537348,19773754,14.9693,Other
sca0903,JENN,PA,17.6125,99.1485,86.911,212837041,198475800,19773897,16.4069,Other
sca0904,JENN,PA,11.927,98.7843,63.0753,159100912,152083878,19772869,11.1816,Other
sca0905,JENN,PA,15.392,99.0559,82.6552,183007061,169533378,19773507,14.211,Other
sca0917,JENN,PA,11.8469,98.9274,64.7698,143771798,131637842,19772847,11.0343,Other
sca0918,JENN,PA,12.2572,98.7775,65.2104,172623259,160619322,19772839,11.4019,Other
sca0919,JENN,PA,15.64,99.0478,83.4984,184746905,173158622,19773632,14.6496,Other
sca0924,CCRO,NY,12.2075,99.1473,66.8887,139310817,130782326,19773753,11.4995,Other
sca0925,CCRO,NY,13.3441,98.8287,74.3843,143319258,135604154,19772946,12.7515,Other
sca0926,CCRO,NY,17.0989,99.015,85.8993,182195165,173875022,19773630,16.3502,Other
sca0931,CCRO,NY,18.9638,99.0417,89.5755,202821290,193124952,19773739,18.1186,Other
sca0932,CCRO,NY,24.4167,99.4556,94.4134,311126584,289660274,19774624,22.5039,Other
sca0933,CCRO,NY,11.7796,96.3553,63.7053,127241013,119487864,19772651,11.425,Other
sca0939,MOSQ,OH,13.0746,98.9843,72.2802,150092792,142117446,19773276,12.3838,Other
sca0940,MOSQ,OH,13.3946,99.0138,73.2005,154254143,145396204,19773475,12.7555,Other
sca0947,BERG,NY,13.0463,98.8591,71.4978,184055498,171057212,19772936,12.0948,Other
sca0949,BERG,NY,15.2079,98.9083,77.9047,209022856,198274324,19773545,14.4409,Other
