SampleID,Pop,PopCol,Label,LabelCol,Species,State,Latitude,Longitude
sca0037,JENN,#F781BF,Other,#33ACE3,Scatenatus,PA,41.008195,-80.003163
sca0038,JENN,#F781BF,Other,#33ACE3,Scatenatus,PA,41.008195,-80.003163
sca0142,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0143,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0180,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0186,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0226,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0236,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0242,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0260,KBPP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.35159,-80.204296
sca0461,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0465,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0472,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0529,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0531,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0549,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0600,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0604,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0636,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0651,BPNP,#386CB0,Other,#33ACE3,Scatenatus,CA,45.188834,-81.597718
sca0673,ROME,#33A02C,Other,#33ACE3,Scatenatus,OH,41.604393,-80.903203
sca0678,ROME,#33A02C,Other,#33ACE3,Scatenatus,OH,41.604393,-80.903203
sca0689,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0693,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0694,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0700,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0707,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0708,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0709,KLDR,#1B9E77,Donor1,#4AB62C,Scatenatus,OH,40.713972,-83.296089
sca0713,ROME,#33A02C,Other,#33ACE3,Scatenatus,OH,41.604393,-80.903203
sca0724,ROME,#33A02C,Other,#33ACE3,Scatenatus,OH,41.604393,-80.903203
