Chrom	Start	End	GeneID	GeneName	
Scate-ma1	63734	78505	Scate00001	NUFIP2	
Scate-ma1	107591	145488	Scate00002	TAOK1	
Scate-ma1	210124	223510	Scate00003	ANKRD13B	
Scate-ma1	225026	232334	Scate00004	ANKRD13B	
Scate-ma1	240079	262991	Scate00005	CORO6	
Scate-ma1	281732	282238	Scate00006	CORO6	
Scate-ma1	493414	517092	Scate00007	Bleomycin hydrolase-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	542493	553147	Scate00008	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	582855	625830	Scate00009	CPD	
Scate-ma1	634253	640903	Scate00010	Golgi SNAP receptor complex member 1-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	691173	706308	Scate00011	Active breakpoint cluster region-related protein isoform b (Crotalus horridus OX%3D35024)	
Scate-ma1	728317	744171	Scate00012	Active breakpoint cluster region-related protein isoform b (Crotalus horridus OX%3D35024)	
Scate-ma1	787253	800329	Scate00013	Active breakpoint cluster region-related protein isoform b (Crotalus horridus OX%3D35024)	
Scate-ma1	810484	822511	Scate00014	TIMM22	
Scate-ma1	894158	898728	Scate00015	ttc19	
Scate-ma1	920011	931489	Scate00016	ncor1	
Scate-ma1	966124	1011145	Scate00017	NCOR2	
Scate-ma1	1112652	1122738	Scate00018	LOC100566721	
Scate-ma1	1144865	1153318	Scate00019	Trpv2	
Scate-ma1	1159911	1164483	Scate00020	LOC100566721	
Scate-ma1	1207925	1208284	Scate00021	Transmembrane protein 93 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	1224365	1228446	Scate00022	TAX1BP3	
Scate-ma1	1270122	1278315	Scate00023	trpv1	
Scate-ma1	1286237	1295990	Scate00024	TRPV3	
Scate-ma1	1300749	1320548	Scate00025	ASPA	
Scate-ma1	1339978	1352281	Scate00026	spata22	
Scate-ma1	1364168	1367197	Scate00027	LOC100557516	
Scate-ma1	1460255	1502018	Scate00028	A-kinase anchor protein 10%2C mitochondrial (Crotalus horridus OX%3D35024)	
Scate-ma1	1508243	1514325	Scate00029	Notchless 1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	1528439	1536063	Scate00030	Notchless 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	1645362	1661833	Scate00031	ULK2	
Scate-ma1	1686808	1706302	Scate00032	Ulk2	
Scate-ma1	1725328	1746492	Scate00033	Aldehyde dehydrogenase (Crotalus horridus OX%3D35024)	
Scate-ma1	1753010	1785603	Scate00034	LOC100566525	
Scate-ma1	1877838	1896384	Scate00035	NXN	
Scate-ma1	1913732	1919259	Scate00036	mrm3	
